trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-09-30,1132,1130,1137,1125,8170000,-0.05,AXISBANK
2025-10-01,1160,1133,1165,1131,9660000,2.47,AXISBANK
2025-10-03,1181,1171,1188,1170,11100000,1.85,AXISBANK
2025-10-06,1213,1185,1215,1182,20130000,2.69,AXISBANK
2025-10-07,1187,1212,1212,1184,8620000,-2.14,AXISBANK
2025-10-08,1181,1180,1195,1174,5160000,-0.52,AXISBANK
2025-10-09,1167,1178,1187,1163,7190000,-1.12,AXISBANK
2025-10-10,1180,1168,1192,1165,6930000,1.11,AXISBANK
2025-10-13,1190,1171,1194,1168,4140000,0.78,AXISBANK
2025-10-14,1177,1192,1192,1167,5740000,-1.08,AXISBANK
2025-10-15,1170,1180,1182,1164,6330000,-0.61,AXISBANK
2025-10-16,1196,1216,1217,1185,17750000,2.28,AXISBANK
2025-10-17,1200,1196,1213,1192,6400000,0.33,AXISBANK
2025-10-20,1226,1208,1232,1207,7420000,2.15,AXISBANK
2025-10-21,1237,1226,1239,1222,1940000,0.92,AXISBANK
2025-10-23,1259,1246,1276,1241,14610000,1.74,AXISBANK
2025-10-24,1242,1254,1256,1240,4880000,-1.34,AXISBANK
2025-10-27,1254,1243,1259,1243,6190000,0.98,AXISBANK
2025-10-28,1246,1249,1259,1237,8150000,-0.62,AXISBANK
2025-10-29,1249,1247,1251,1239,4580000,0.2,AXISBANK
2025-10-30,1239,1243,1248,1235,4020000,-0.82,AXISBANK
2025-10-31,1233,1243,1245,1231,4110000,-0.47,AXISBANK
2025-11-03,1234,1226,1241,1222,6120000,0.07,AXISBANK
2025-11-04,1227,1230,1236,1223,3300000,-0.58,AXISBANK
2025-11-06,1229,1225,1240,1225,3730000,0.15,AXISBANK
2025-11-07,1223,1227,1229,1217,3460000,-0.46,AXISBANK
2025-11-10,1217,1222,1233,1216,4140000,-0.47,AXISBANK
2025-11-11,1223,1218,1225,1209,5620000,0.45,AXISBANK
2025-11-12,1222,1228,1233,1217,6780000,-0.07,AXISBANK
2025-11-13,1225,1219,1235,1213,3350000,0.29,AXISBANK
2025-11-14,1242,1224,1246,1222,5200000,1.34,AXISBANK
2025-11-17,1250,1244,1261,1240,4090000,0.64,AXISBANK
2025-11-18,1265,1250,1274,1248,10180000,1.26,AXISBANK
2025-11-19,1270,1268,1273,1258,4100000,0.4,AXISBANK
2025-11-20,1285,1275,1287,1263,4620000,1.16,AXISBANK
2025-11-21,1276,1284,1285,1273,6360000,-0.73,AXISBANK
2025-11-24,1269,1279,1291,1267,10490000,-0.53,AXISBANK
2025-11-25,1266,1269,1277,1264,5290000,-0.21,AXISBANK
2025-11-26,1290,1272,1293,1269,4840000,1.89,AXISBANK
2025-11-27,1287,1297,1304,1281,5920000,-0.22,AXISBANK
2025-11-28,1280,1287,1289,1275,3090000,-0.59,AXISBANK
2025-12-01,1276,1288,1289,1269,4100000,-0.31,AXISBANK
2025-12-02,1258,1271,1281,1255,8120000,-1.39,AXISBANK
2025-12-03,1271,1255,1273,1255,3580000,1.01,AXISBANK
2025-12-04,1280,1271,1283,1269,3220000,0.73,AXISBANK
2025-12-05,1283,1275,1285,1267,2730000,0.2,AXISBANK
2025-12-08,1274,1284,1289,1265,2970000,-0.68,AXISBANK
2025-12-09,1276,1272,1281,1263,4240000,0.16,AXISBANK
2025-12-10,1279,1273,1284,1268,2930000,0.21,AXISBANK
2025-12-11,1273,1277,1282,1271,2020000,-0.46,AXISBANK
2025-12-12,1286,1278,1291,1278,2280000,1.05,AXISBANK
2025-12-15,1285,1285,1290,1280,1630000,-0.1,AXISBANK
2025-12-16,1220,1277,1278,1217,11540000,-5.07,AXISBANK
2025-12-17,1225,1221,1236,1220,5150000,0.42,AXISBANK
2025-12-18,1230,1226,1239,1220,3440000,0.42,AXISBANK
2025-12-19,1231,1237,1242,1229,5060000,0.07,AXISBANK
