trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,450,445,460,443,19110000,1.21,COALINDIA
2026-03-27,445,446,449,441,17180000,0.3,COALINDIA
2026-03-25,444,444,446,439,8630000,0.36,COALINDIA
2026-03-24,442,463,463,439,20320000,-2.89,COALINDIA
2026-03-23,455,466,466,451,10160000,-2.76,COALINDIA
2026-03-20,468,457,472,456,23880000,3.07,COALINDIA
2026-03-19,454,451,460,451,10190000,-0.22,COALINDIA
2026-03-18,455,462,463,449,9540000,-1.53,COALINDIA
2026-03-17,462,460,466,458,9190000,0.42,COALINDIA
2026-03-16,460,467,471,456,12310000,-1.43,COALINDIA
2026-03-13,467,473,476,462,20220000,-0.66,COALINDIA
2026-03-12,470,447,474,445,27330000,5.23,COALINDIA
2026-03-11,447,447,454,445,9980000,0.72,COALINDIA
2026-03-10,444,445,445,434,10860000,1.35,COALINDIA
2026-03-09,438,439,447,435,15820000,-0.64,COALINDIA
2026-03-06,440,451,452,439,10550000,-1.99,COALINDIA
2026-03-05,449,440,459,440,30110000,3.27,COALINDIA
2026-03-04,435,426,438,426,18920000,2.09,COALINDIA
2026-03-02,426,418,430,416,7500000,-1.02,COALINDIA
2026-02-27,431,433,434,425,8150000,-0.66,COALINDIA
2026-02-26,434,439,440,430,8650000,-1.16,COALINDIA
2026-02-25,439,431,440,429,8940000,1.78,COALINDIA
2026-02-24,431,424,432,422,8950000,1.16,COALINDIA
2026-02-23,426,426,428,419,6520000,0.58,COALINDIA
2026-02-20,424,416,426,415,8840000,1.78,COALINDIA
2026-02-19,416,418,420,415,3820000,-0.44,COALINDIA
2026-02-18,418,418,419,413,4870000,-0.84,COALINDIA
2026-02-17,422,422,425,419,4560000,-0.22,COALINDIA
2026-02-16,423,408,424,407,9720000,3.31,COALINDIA
2026-02-13,409,412,418,408,8190000,-2.43,COALINDIA
2026-02-12,419,424,426,416,5990000,-0.97,COALINDIA
2026-02-11,423,426,428,420,5720000,-1.79,COALINDIA
2026-02-10,431,432,434,429,5100000,-0.17,COALINDIA
2026-02-09,432,434,435,430,4510000,-0.25,COALINDIA
2026-02-06,433,431,434,427,4740000,0.22,COALINDIA
2026-02-05,432,437,438,428,5250000,-0.7,COALINDIA
2026-02-04,435,432,441,428,11480000,1.28,COALINDIA
2026-02-03,429,437,437,420,13960000,1.39,COALINDIA
2026-02-02,424,419,426,413,9620000,0.94,COALINDIA
2026-02-01,420,440,441,418,6200000,-4.81,COALINDIA
2026-01-30,441,454,454,437,10190000,-3.29,COALINDIA
2026-01-29,456,446,462,443,16920000,2.63,COALINDIA
2026-01-28,444,424,446,422,17500000,5,COALINDIA
2026-01-27,423,421,427,419,8750000,1.08,COALINDIA
2026-01-23,418,424,426,415,6520000,-1.13,COALINDIA
2026-01-22,423,417,427,417,11500000,2.21,COALINDIA
2026-01-21,414,415,420,412,7310000,-0.3,COALINDIA
2026-01-20,415,430,431,414,6770000,-3.45,COALINDIA
2026-01-19,430,431,433,428,7110000,-0.2,COALINDIA
2026-01-16,431,432,434,428,6410000,-0.28,COALINDIA
2026-01-14,432,428,442,427,17130000,0.77,COALINDIA
2026-01-13,429,434,436,426,7100000,-0.79,COALINDIA
2026-01-12,432,419,433,416,14410000,3.33,COALINDIA
2026-01-09,418,424,428,417,7310000,-1.62,COALINDIA
2026-01-08,425,432,434,423,5990000,-1.48,COALINDIA
2026-01-07,432,427,432,424,8920000,1.08,COALINDIA
2026-01-06,427,427,431,425,6310000,-0.09,COALINDIA
2026-01-05,427,431,437,424,17260000,-0.11,COALINDIA
2026-01-02,428,401,430,401,35090000,6.85,COALINDIA
2026-01-01,400,399,403,398,3160000,0.36,COALINDIA
2025-12-31,399,398,404,398,4640000,0.25,COALINDIA
2025-12-30,398,400,400,396,4420000,-0.66,COALINDIA
2025-12-29,401,404,406,399,6110000,-0.37,COALINDIA
2025-12-26,402,404,408,401,5440000,-0.05,COALINDIA
2025-12-24,402,404,412,402,17620000,0.49,COALINDIA
2025-12-23,400,387,401,386,18490000,3.66,COALINDIA
2025-12-22,386,386,387,384,3110000,0.17,COALINDIA
2025-12-19,386,385,387,384,3610000,0.08,COALINDIA
2025-12-18,385,384,387,383,2380000,0.14,COALINDIA
2025-12-17,385,381,386,381,3650000,0.83,COALINDIA
2025-12-16,382,384,384,378,5110000,-0.74,COALINDIA
2025-12-15,384,384,385,380,1870000,0.29,COALINDIA
2025-12-12,383,385,386,382,1410000,-0.17,COALINDIA
2025-12-11,384,382,385,381,2700000,0.48,COALINDIA
2025-12-10,382,379,383,378,4750000,0.74,COALINDIA
2025-12-09,379,375,381,373,4240000,0.53,COALINDIA
2025-12-08,377,381,381,376,3910000,-0.68,COALINDIA
2025-12-05,380,379,381,377,3150000,0.24,COALINDIA
2025-12-04,379,375,380,374,3140000,1.01,COALINDIA
2025-12-03,375,379,379,372,4650000,-0.98,COALINDIA
2025-12-02,379,380,380,377,3700000,-0.18,COALINDIA
2025-12-01,380,377,380,376,4220000,0.93,COALINDIA
2025-11-28,376,379,379,375,4690000,-0.5,COALINDIA
2025-11-27,378,377,379,376,3330000,0.19,COALINDIA
2025-11-26,377,372,378,371,4100000,1.97,COALINDIA
2025-11-25,370,373,373,370,4900000,-0.67,COALINDIA
2025-11-24,373,378,378,372,5540000,-1.49,COALINDIA
2025-11-21,378,378,380,378,3090000,-0.38,COALINDIA
2025-11-20,380,381,381,378,3970000,0.16,COALINDIA
2025-11-19,379,383,384,378,5330000,-1.28,COALINDIA
2025-11-18,384,388,388,383,4460000,-1.01,COALINDIA
2025-11-17,388,387,389,386,3850000,0.23,COALINDIA
2025-11-14,387,383,387,382,3760000,0.98,COALINDIA
2025-11-13,383,387,387,383,3480000,-0.85,COALINDIA
2025-11-12,387,384,388,383,4330000,0.97,COALINDIA
2025-11-11,383,381,383,379,3300000,0.38,COALINDIA
2025-11-10,381,376,382,376,4450000,1.42,COALINDIA
2025-11-07,376,372,377,372,4650000,0.76,COALINDIA
2025-11-06,373,379,379,372,6650000,-1.17,COALINDIA
