trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-09-30,1385,1392,1405,1382,2780000,-0.17,HCLTECH
2025-10-01,1390,1386,1397,1382,2250000,0.32,HCLTECH
2025-10-03,1394,1397,1400,1380,2790000,0.29,HCLTECH
2025-10-06,1418,1394,1421,1391,1970000,1.74,HCLTECH
2025-10-07,1433,1422,1442,1417,1590000,1.11,HCLTECH
2025-10-08,1453,1433,1459,1427,1740000,1.38,HCLTECH
2025-10-09,1487,1453,1491,1453,2680000,2.29,HCLTECH
2025-10-10,1496,1491,1499,1474,2130000,0.61,HCLTECH
2025-10-13,1495,1490,1502,1477,1820000,-0.05,HCLTECH
2025-10-14,1495,1515,1535,1490,5800000,0.05,HCLTECH
2025-10-15,1496,1498,1509,1486,1710000,0.02,HCLTECH
2025-10-16,1515,1500,1520,1498,2020000,1.29,HCLTECH
2025-10-17,1486,1499,1501,1479,3210000,-1.9,HCLTECH
2025-10-20,1495,1490,1510,1489,2350000,0.62,HCLTECH
2025-10-21,1486,1503,1503,1481,274400,-0.63,HCLTECH
2025-10-23,1524,1510,1548,1506,5010000,2.55,HCLTECH
2025-10-24,1524,1525,1533,1516,1490000,-0.01,HCLTECH
2025-10-27,1534,1531,1550,1527,1390000,0.64,HCLTECH
2025-10-28,1522,1535,1542,1512,1940000,-0.74,HCLTECH
2025-10-29,1557,1530,1559,1522,2600000,2.31,HCLTECH
2025-10-30,1550,1558,1560,1538,2180000,-0.48,HCLTECH
2025-10-31,1542,1550,1558,1538,1720000,-0.54,HCLTECH
2025-11-03,1544,1540,1550,1528,2250000,0.13,HCLTECH
2025-11-04,1529,1536,1542,1525,1670000,-0.93,HCLTECH
2025-11-06,1526,1529,1532,1514,2470000,-0.18,HCLTECH
2025-11-07,1512,1515,1519,1491,2240000,-0.92,HCLTECH
2025-11-10,1541,1518,1545,1511,1560000,1.86,HCLTECH
2025-11-11,1570,1548,1573,1541,2270000,1.91,HCLTECH
2025-11-12,1594,1575,1600,1574,2330000,1.53,HCLTECH
2025-11-13,1599,1599,1605,1580,1940000,0.28,HCLTECH
2025-11-14,1595,1590,1598,1574,2540000,-0.24,HCLTECH
2025-11-17,1606,1594,1608,1586,2000000,0.74,HCLTECH
2025-11-18,1595,1604,1604,1590,1640000,-0.7,HCLTECH
2025-11-19,1663,1595,1670,1589,6340000,4.23,HCLTECH
2025-11-20,1645,1663,1668,1643,2720000,-1.03,HCLTECH
2025-11-21,1608,1636,1644,1606,2960000,-2.27,HCLTECH
2025-11-24,1610,1614,1640,1603,6390000,0.15,HCLTECH
2025-11-25,1601,1618,1619,1593,2290000,-0.58,HCLTECH
2025-11-26,1618,1601,1628,1601,1240000,1.05,HCLTECH
2025-11-27,1629,1619,1633,1614,2110000,0.69,HCLTECH
2025-11-28,1624,1629,1637,1619,1840000,-0.29,HCLTECH
2025-12-01,1643,1630,1647,1628,2030000,1.15,HCLTECH
2025-12-02,1636,1651,1653,1624,2330000,-0.45,HCLTECH
2025-12-03,1641,1636,1655,1629,2370000,0.31,HCLTECH
2025-12-04,1655,1650,1672,1645,3940000,0.86,HCLTECH
2025-12-05,1683,1663,1691,1651,3390000,1.72,HCLTECH
2025-12-08,1689,1683,1695,1677,2700000,0.33,HCLTECH
2025-12-09,1658,1687,1687,1656,2820000,-1.84,HCLTECH
2025-12-10,1666,1663,1671,1657,1480000,0.51,HCLTECH
2025-12-11,1672,1668,1677,1649,1410000,0.38,HCLTECH
2025-12-12,1673,1677,1678,1660,1280000,0.05,HCLTECH
2025-12-15,1684,1673,1688,1660,1690000,0.65,HCLTECH
2025-12-16,1652,1681,1682,1645,1930000,-1.92,HCLTECH
2025-12-17,1655,1651,1665,1646,1390000,0.2,HCLTECH
2025-12-18,1661,1657,1674,1651,1820000,0.39,HCLTECH
2025-12-19,1642,1675,1681,1633,3490000,-1.14,HCLTECH
2025-12-22,1670,1652,1674,1644,1340000,1.7,HCLTECH
2025-12-23,1680,1675,1687,1656,1610000,0.57,HCLTECH
2025-12-24,1675,1676,1680,1665,989860,-0.31,HCLTECH
2025-12-26,1661,1668,1676,1651,921140,-0.82,HCLTECH
2025-12-29,1631,1660,1661,1625,1520000,-1.81,HCLTECH
2025-12-30,1615,1631,1636,1611,3320000,-0.96,HCLTECH
2025-12-31,1623,1625,1632,1617,1360000,0.5,HCLTECH
2026-01-01,1635,1623,1646,1618,773810,0.69,HCLTECH
2026-01-02,1640,1632,1643,1625,950570,0.35,HCLTECH
2026-01-05,1608,1625,1634,1580,3250000,-1.99,HCLTECH
2026-01-06,1616,1600,1626,1597,2110000,0.54,HCLTECH
2026-01-07,1648,1621,1655,1617,3820000,1.94,HCLTECH
2026-01-08,1647,1653,1661,1635,3270000,-0.06,HCLTECH
2026-01-09,1661,1647,1675,1647,3280000,0.89,HCLTECH
2026-01-12,1668,1659,1677,1642,4180000,0.37,HCLTECH
2026-01-13,1665,1685,1698,1626,7150000,-0.16,HCLTECH
2026-01-14,1669,1665,1678,1649,2470000,0.21,HCLTECH
2026-01-16,1698,1670,1701,1665,3100000,1.77,HCLTECH
2026-01-19,1717,1698,1719,1685,2090000,1.11,HCLTECH
2026-01-20,1687,1720,1720,1682,1740000,-1.72,HCLTECH
2026-01-21,1683,1688,1695,1669,1730000,-0.28,HCLTECH
2026-01-22,1703,1691,1709,1682,1850000,1.22,HCLTECH
2026-01-23,1707,1713,1721,1699,1870000,0.23,HCLTECH
2026-01-27,1720,1720,1726,1701,2670000,0.77,HCLTECH
2026-01-28,1730,1705,1734,1691,2710000,0.55,HCLTECH
2026-01-29,1722,1723,1725,1696,2240000,-0.46,HCLTECH
2026-01-30,1696,1713,1713,1683,4450000,-1.51,HCLTECH
2026-02-01,1666,1692,1710,1613,1850000,-1.73,HCLTECH
2026-02-02,1677,1670,1689,1654,1920000,0.64,HCLTECH
2026-02-03,1695,1780,1780,1689,3200000,1.1,HCLTECH
2026-02-04,1622,1642,1645,1586,5830000,-4.34,HCLTECH
2026-02-05,1610,1614,1632,1600,3180000,-0.73,HCLTECH
2026-02-06,1594,1612,1612,1574,3340000,-1.01,HCLTECH
2026-02-09,1602,1600,1620,1594,1860000,0.52,HCLTECH
2026-02-10,1573,1595,1602,1568,3230000,-1.8,HCLTECH
2026-02-11,1552,1574,1578,1546,2940000,-1.37,HCLTECH
2026-02-12,1476,1529,1535,1470,5400000,-4.87,HCLTECH
2026-02-13,1455,1423,1477,1396,7210000,-1.42,HCLTECH
2026-02-16,1462,1451,1467,1447,2390000,0.45,HCLTECH
2026-02-17,1483,1464,1511,1458,2840000,1.42,HCLTECH
2026-02-18,1467,1483,1483,1443,2040000,-1.04,HCLTECH
2026-02-19,1450,1470,1502,1443,2400000,-1.15,HCLTECH
2026-02-20,1437,1443,1455,1431,2390000,-0.96,HCLTECH
2026-02-23,1426,1438,1442,1416,2630000,-0.72,HCLTECH
2026-02-24,1339,1402,1407,1323,10000000,-6.1,HCLTECH
2026-02-25,1378,1355,1391,1354,5700000,2.91,HCLTECH
2026-02-26,1374,1391,1405,1368,2330000,-0.34,HCLTECH
2026-02-27,1389,1398,1405,1382,8650000,1.14,HCLTECH
