trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,732,745,751,727,103500000,-3.26,HDFCBANK
2026-03-27,756,773,775,755,65490000,-3.34,HDFCBANK
2026-03-25,782,768,795,768,59230000,2.27,HDFCBANK
2026-03-24,765,755,773,748,61270000,2.79,HDFCBANK
2026-03-23,744,763,769,741,72340000,-4.65,HDFCBANK
2026-03-20,780,785,794,778,103130000,-2.22,HDFCBANK
2026-03-19,798,770,816,770,171640000,-5.32,HDFCBANK
2026-03-18,843,845,847,832,23510000,-0.27,HDFCBANK
2026-03-17,845,848,849,835,38830000,0.57,HDFCBANK
2026-03-16,841,817,845,816,52180000,2.89,HDFCBANK
2026-03-13,817,820,824,812,41700000,-1.89,HDFCBANK
2026-03-12,833,820,836,820,46110000,-0.14,HDFCBANK
2026-03-11,834,845,849,828,42260000,-1.82,HDFCBANK
2026-03-10,849,850,857,841,52870000,1.04,HDFCBANK
2026-03-09,841,825,842,822,35590000,-1.91,HDFCBANK
2026-03-06,857,868,872,855,34440000,-2.36,HDFCBANK
2026-03-05,878,874,881,864,31320000,1.05,HDFCBANK
2026-03-04,869,848,879,848,39860000,-1.22,HDFCBANK
2026-03-02,879,876,888,872,38380000,-0.94,HDFCBANK
2026-02-27,888,899,899,885,34620000,-1.21,HDFCBANK
2026-02-26,899,912,912,895,41170000,-0.99,HDFCBANK
2026-02-25,908,911,916,903,27880000,-0.32,HDFCBANK
2026-02-24,911,928,928,909,31310000,-1.42,HDFCBANK
2026-02-23,924,917,926,915,23270000,1.29,HDFCBANK
2026-02-20,912,911,918,908,22650000,-0.41,HDFCBANK
2026-02-19,916,929,929,912,21210000,-0.98,HDFCBANK
2026-02-18,925,923,926,920,12740000,-0.11,HDFCBANK
2026-02-17,926,923,928,919,22600000,-0.01,HDFCBANK
2026-02-16,926,904,930,902,18810000,2.42,HDFCBANK
2026-02-13,904,913,928,901,50190000,-1.81,HDFCBANK
2026-02-12,921,927,929,919,33870000,-0.7,HDFCBANK
2026-02-11,927,931,936,925,24870000,-0.57,HDFCBANK
2026-02-10,932,930,941,930,31530000,-0.52,HDFCBANK
2026-02-09,937,945,950,935,23950000,-0.41,HDFCBANK
2026-02-06,941,945,948,938,18120000,-0.91,HDFCBANK
2026-02-05,950,956,956,947,28100000,-0.36,HDFCBANK
2026-02-04,953,953,957,948,24370000,0.46,HDFCBANK
2026-02-03,949,984,994,945,50340000,2.22,HDFCBANK
2026-02-02,928,915,930,909,28030000,0.65,HDFCBANK
2026-02-01,922,932,940,913,9860000,-0.77,HDFCBANK
2026-01-30,929,930,939,928,29690000,-0.67,HDFCBANK
2026-01-29,936,930,939,924,37180000,0.3,HDFCBANK
2026-01-28,933,933,941,928,35350000,0.68,HDFCBANK
2026-01-27,926,906,931,905,44750000,1.12,HDFCBANK
2026-01-23,916,920,926,909,30990000,-0.28,HDFCBANK
2026-01-22,919,928,928,913,44440000,-0.18,HDFCBANK
2026-01-21,920,925,932,916,32770000,-1.17,HDFCBANK
2026-01-20,931,929,935,920,36020000,0.36,HDFCBANK
2026-01-19,928,936,936,920,38190000,-0.34,HDFCBANK
2026-01-16,931,922,936,919,37780000,0.61,HDFCBANK
2026-01-14,925,930,940,920,36690000,-1.27,HDFCBANK
2026-01-13,937,948,948,933,32040000,0.04,HDFCBANK
2026-01-12,937,938,942,930,21070000,-0.22,HDFCBANK
2026-01-09,939,945,951,933,38180000,-0.81,HDFCBANK
2026-01-08,947,945,953,941,21930000,-0.25,HDFCBANK
2026-01-07,949,956,956,946,52880000,-1.37,HDFCBANK
2026-01-06,962,963,967,956,31990000,-1.57,HDFCBANK
2026-01-05,978,1006,1006,976,27650000,-2.41,HDFCBANK
2026-01-02,1002,991,1003,989,11750000,1.05,HDFCBANK
2026-01-01,991,994,998,990,7130000,-0.01,HDFCBANK
2025-12-31,991,991,998,988,10960000,0.03,HDFCBANK
2025-12-30,991,990,995,982,33160000,-0.08,HDFCBANK
2025-12-29,992,993,997,987,13550000,-0.04,HDFCBANK
2025-12-26,992,996,997,988,9360000,-0.51,HDFCBANK
2025-12-24,997,993,999,993,13700000,0.06,HDFCBANK
2025-12-23,997,991,999,988,17930000,0.9,HDFCBANK
2025-12-22,988,988,993,984,13540000,0.22,HDFCBANK
2025-12-19,986,987,988,979,25950000,0.59,HDFCBANK
2025-12-18,980,973,987,973,14910000,-0.44,HDFCBANK
2025-12-17,984,996,996,981,19080000,-1.04,HDFCBANK
2025-12-16,994,990,999,990,20050000,-0.18,HDFCBANK
2025-12-15,996,992,1002,992,9790000,-0.54,HDFCBANK
2025-12-12,1002,1003,1005,998,11990000,0.12,HDFCBANK
2025-12-11,1000,990,1003,989,11840000,1.06,HDFCBANK
2025-12-10,990,998,999,985,15320000,-0.73,HDFCBANK
2025-12-09,997,995,1003,994,15290000,-0.6,HDFCBANK
2025-12-08,1003,1000,1007,998,12900000,-0.02,HDFCBANK
2025-12-05,1003,992,1008,990,12840000,0.61,HDFCBANK
2025-12-04,997,1000,1005,993,14530000,-0.33,HDFCBANK
2025-12-03,1001,986,1002,986,15450000,1.08,HDFCBANK
2025-12-02,990,988,994,985,27320000,-1.23,HDFCBANK
2025-12-01,1002,1018,1018,999,16750000,-0.55,HDFCBANK
2025-11-28,1008,1007,1012,1004,15990000,-0.19,HDFCBANK
2025-11-27,1010,1002,1017,1001,25540000,0.56,HDFCBANK
2025-11-26,1004,981,1007,981,19490000,1.42,HDFCBANK
2025-11-25,990,1004,1006,988,24990000,-0.94,HDFCBANK
2025-11-24,999,1000,1011,994,32200000,0.11,HDFCBANK
2025-11-21,998,1003,1008,997,17500000,-1.07,HDFCBANK
2025-11-20,1009,995,1012,992,19850000,1.43,HDFCBANK
2025-11-19,995,990,997,984,19810000,0.22,HDFCBANK
2025-11-18,992,998,999,990,20000000,-0.41,HDFCBANK
2025-11-17,997,991,998,986,18400000,0.7,HDFCBANK
2025-11-14,990,976,992,976,21390000,0.3,HDFCBANK
2025-11-13,987,984,990,983,14120000,-0.29,HDFCBANK
2025-11-12,990,999,999,988,13140000,-0.22,HDFCBANK
2025-11-11,992,984,994,978,10200000,0.73,HDFCBANK
2025-11-10,985,982,991,980,15990000,0.22,HDFCBANK
2025-11-07,982,980,985,975,15000000,-0.24,HDFCBANK
2025-11-06,985,981,991,974,22280000,-0.06,HDFCBANK
2025-11-04,985,987,997,984,20020000,-0.75,HDFCBANK
2025-11-03,993,985,995,983,16610000,0.54,HDFCBANK
2025-10-31,987,994,1004,981,23220000,-1.09,HDFCBANK
2025-10-30,998,1000,1010,997,19960000,-0.96,HDFCBANK
2025-10-29,1008,1005,1013,1000,17770000,0.43,HDFCBANK
2025-10-28,1004,998,1008,995,33900000,0.06,HDFCBANK
2025-10-27,1003,997,1009,996,15700000,0.82,HDFCBANK
2025-10-24,995,1011,1012,991,17710000,-1.39,HDFCBANK
2025-10-23,1009,1016,1021,1006,43530000,0.11,HDFCBANK
2025-10-21,1008,1006,1010,1004,3470000,0.47,HDFCBANK
2025-10-20,1003,997,1020,997,22200000,0.04,HDFCBANK
2025-10-17,1003,994,1009,986,25210000,0.82,HDFCBANK
2025-10-16,994,983,997,982,22940000,1.65,HDFCBANK
2025-10-15,978,975,985,973,23310000,0.11,HDFCBANK
2025-10-14,977,970,980,967,22930000,0.02,HDFCBANK
2025-10-13,977,974,981,972,18630000,-0.4,HDFCBANK
2025-10-10,981,979,986,978,13760000,0.39,HDFCBANK
2025-10-09,977,975,979,970,15370000,-0.16,HDFCBANK
2025-10-08,979,976,986,975,15940000,-0.39,HDFCBANK
2025-10-07,983,974,990,971,25540000,0.93,HDFCBANK
2025-10-06,973,972,977,962,18540000,0.86,HDFCBANK
2025-10-03,965,952,967,952,26660000,-0.01,HDFCBANK
2025-10-01,965,953,970,946,25350000,1.5,HDFCBANK
2025-09-30,951,958,960,946,28300000,0.07,HDFCBANK
