trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,2055,2064,2082,2046,2480000,-0.93,HINDUNILVR
2026-03-27,2074,2123,2127,2070,2790000,-2.83,HINDUNILVR
2026-03-25,2135,2098,2155,2086,2070000,2.39,HINDUNILVR
2026-03-24,2085,2070,2115,2066,1700000,1.6,HINDUNILVR
2026-03-23,2052,2062,2097,2033,2600000,-1.46,HINDUNILVR
2026-03-20,2083,2100,2100,2069,2430000,0.26,HINDUNILVR
2026-03-19,2077,2112,2134,2070,2100000,-2.72,HINDUNILVR
2026-03-18,2135,2165,2175,2130,2440000,-1.06,HINDUNILVR
2026-03-17,2158,2173,2185,2146,1710000,-0.8,HINDUNILVR
2026-03-16,2176,2170,2187,2154,1980000,0.73,HINDUNILVR
2026-03-13,2160,2136,2192,2120,2300000,1.08,HINDUNILVR
2026-03-12,2137,2165,2165,2109,1790000,-1.13,HINDUNILVR
2026-03-11,2161,2190,2195,2156,1310000,-1.31,HINDUNILVR
2026-03-10,2190,2224,2224,2175,1080000,-0.2,HINDUNILVR
2026-03-09,2195,2199,2200,2170,1510000,-1.4,HINDUNILVR
2026-03-06,2226,2245,2250,2220,1670000,-1.3,HINDUNILVR
2026-03-05,2255,2276,2278,2228,1750000,-0.28,HINDUNILVR
2026-03-04,2261,2293,2312,2252,2650000,-2.56,HINDUNILVR
2026-03-02,2321,2303,2354,2290,2270000,-0.75,HINDUNILVR
2026-02-27,2338,2369,2379,2331,3050000,-1.9,HINDUNILVR
2026-02-26,2383,2378,2387,2355,1470000,0.35,HINDUNILVR
2026-02-25,2375,2369,2380,2349,1160000,0.69,HINDUNILVR
2026-02-24,2359,2331,2372,2330,1540000,0.56,HINDUNILVR
2026-02-23,2345,2325,2350,2321,1300000,1.34,HINDUNILVR
2026-02-20,2315,2285,2331,2278,1720000,1.54,HINDUNILVR
2026-02-19,2279,2336,2337,2276,940180,-1.9,HINDUNILVR
2026-02-18,2324,2313,2329,2306,830790,0.48,HINDUNILVR
2026-02-17,2312,2309,2326,2303,1230000,-0.29,HINDUNILVR
2026-02-16,2319,2308,2327,2288,2040000,0.6,HINDUNILVR
2026-02-13,2305,2400,2400,2300,2790000,-4.34,HINDUNILVR
2026-02-12,2410,2475,2480,2350,4660000,-2.16,HINDUNILVR
2026-02-11,2463,2460,2471,2447,1140000,0.38,HINDUNILVR
2026-02-10,2454,2435,2458,2430,792530,0.76,HINDUNILVR
2026-02-09,2435,2425,2439,2402,958480,0.45,HINDUNILVR
2026-02-06,2424,2354,2429,2338,1420000,2.96,HINDUNILVR
2026-02-05,2354,2363,2423,2352,1960000,-0.7,HINDUNILVR
2026-02-04,2371,2361,2394,2357,1230000,0.1,HINDUNILVR
2026-02-03,2369,2390,2400,2343,1550000,0.48,HINDUNILVR
2026-02-02,2357,2356,2360,2303,1380000,0.28,HINDUNILVR
2026-02-01,2351,2373,2385,2330,780380,-0.94,HINDUNILVR
2026-01-30,2373,2341,2385,2340,2090000,0.87,HINDUNILVR
2026-01-29,2353,2371,2375,2312,1480000,-1.08,HINDUNILVR
2026-01-28,2378,2403,2420,2341,1800000,-0.94,HINDUNILVR
2026-01-27,2401,2412,2422,2381,2060000,-0.36,HINDUNILVR
2026-01-23,2410,2400,2434,2377,1380000,0.79,HINDUNILVR
2026-01-22,2391,2369,2402,2366,1750000,0.95,HINDUNILVR
2026-01-21,2368,2379,2401,2360,1020000,-0.47,HINDUNILVR
2026-01-20,2379,2423,2439,2369,1460000,-1.44,HINDUNILVR
2026-01-19,2414,2353,2425,2353,1510000,2.27,HINDUNILVR
2026-01-16,2360,2370,2373,2349,1370000,0.29,HINDUNILVR
2026-01-14,2354,2399,2399,2341,1030000,-1.51,HINDUNILVR
2026-01-13,2390,2415,2422,2365,1520000,-0.69,HINDUNILVR
2026-01-12,2406,2362,2414,2361,1060000,1.42,HINDUNILVR
