trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,1206,1217,1223,1200,23950000,-2.26,ICICIBANK
2026-03-27,1234,1256,1261,1230,23630000,-2.06,ICICIBANK
2026-03-25,1260,1259,1273,1254,17290000,0.68,ICICIBANK
2026-03-24,1251,1237,1254,1224,20620000,2.33,ICICIBANK
2026-03-23,1223,1227,1235,1218,17050000,-1.82,ICICIBANK
2026-03-20,1245,1258,1274,1242,16420000,-0.38,ICICIBANK
2026-03-19,1250,1268,1286,1244,14420000,-3.04,ICICIBANK
2026-03-18,1289,1286,1297,1271,12960000,0.05,ICICIBANK
2026-03-17,1289,1279,1294,1273,22300000,1.24,ICICIBANK
2026-03-16,1273,1255,1277,1240,22740000,1.44,ICICIBANK
2026-03-13,1255,1252,1262,1249,17340000,-0.92,ICICIBANK
2026-03-12,1267,1276,1281,1258,19680000,-2.17,ICICIBANK
2026-03-11,1295,1300,1307,1291,13220000,-1.32,ICICIBANK
2026-03-10,1312,1288,1315,1286,19140000,2.62,ICICIBANK
2026-03-09,1278,1273,1283,1251,16120000,-2.66,ICICIBANK
2026-03-06,1313,1339,1358,1310,22780000,-3.26,ICICIBANK
2026-03-05,1358,1369,1371,1348,17590000,-0.57,ICICIBANK
2026-03-04,1365,1326,1376,1326,20010000,-0.63,ICICIBANK
2026-03-02,1374,1355,1379,1355,16930000,-0.36,ICICIBANK
2026-02-27,1379,1400,1402,1377,15100000,-1.85,ICICIBANK
2026-02-26,1405,1405,1410,1392,27290000,0.31,ICICIBANK
2026-02-25,1401,1392,1407,1388,16300000,1.13,ICICIBANK
2026-02-24,1385,1401,1401,1382,18270000,-1.04,ICICIBANK
2026-02-23,1399,1400,1408,1395,10730000,0.35,ICICIBANK
2026-02-20,1395,1389,1404,1384,10340000,0.41,ICICIBANK
2026-02-19,1389,1409,1412,1385,14320000,-1.38,ICICIBANK
2026-02-18,1408,1410,1412,1399,4760000,0.05,ICICIBANK
2026-02-17,1408,1406,1414,1394,11760000,-0.29,ICICIBANK
2026-02-16,1412,1404,1414,1401,5000000,-0.21,ICICIBANK
2026-02-13,1415,1425,1434,1411,12230000,-1.08,ICICIBANK
2026-02-12,1430,1406,1433,1405,19650000,1.7,ICICIBANK
2026-02-11,1406,1407,1413,1400,8550000,-0.03,ICICIBANK
2026-02-10,1407,1401,1410,1396,16500000,0.73,ICICIBANK
2026-02-09,1396,1414,1414,1389,7890000,-0.7,ICICIBANK
2026-02-06,1406,1397,1411,1395,10850000,0.69,ICICIBANK
2026-02-05,1397,1414,1414,1393,8980000,-0.84,ICICIBANK
2026-02-04,1408,1387,1414,1387,11080000,1.35,ICICIBANK
2026-02-03,1390,1412,1417,1373,24900000,2.73,ICICIBANK
2026-02-02,1353,1330,1354,1329,12800000,1.39,ICICIBANK
2026-02-01,1334,1352,1366,1329,4970000,-1.54,ICICIBANK
2026-01-30,1355,1368,1382,1353,24010000,-2.07,ICICIBANK
2026-01-29,1384,1359,1388,1354,23120000,1.16,ICICIBANK
2026-01-28,1368,1363,1380,1363,13240000,0.46,ICICIBANK
2026-01-27,1361,1340,1369,1329,25260000,1.34,ICICIBANK
2026-01-23,1343,1341,1355,1336,14060000,-0.16,ICICIBANK
2026-01-22,1346,1355,1358,1338,17180000,-0.26,ICICIBANK
2026-01-21,1349,1368,1372,1340,21770000,-1.95,ICICIBANK
2026-01-20,1376,1375,1388,1372,15010000,-0.35,ICICIBANK
2026-01-19,1381,1400,1400,1360,23300000,-2.14,ICICIBANK
2026-01-16,1411,1418,1429,1400,12530000,-0.54,ICICIBANK
2026-01-14,1418,1426,1444,1415,13830000,-1.29,ICICIBANK
2026-01-13,1437,1420,1442,1411,14300000,1.69,ICICIBANK
2026-01-12,1413,1400,1424,1392,10920000,0.63,ICICIBANK
2026-01-09,1404,1427,1430,1402,12560000,-2.14,ICICIBANK
2026-01-08,1435,1429,1442,1423,14860000,0.51,ICICIBANK
2026-01-07,1428,1408,1430,1404,15810000,1.17,ICICIBANK
2026-01-06,1411,1372,1414,1366,17260000,2.89,ICICIBANK
2026-01-05,1372,1354,1376,1353,6920000,1.19,ICICIBANK
2026-01-02,1355,1338,1357,1336,8230000,1.3,ICICIBANK
2026-01-01,1338,1344,1348,1336,4180000,-0.36,ICICIBANK
2025-12-31,1343,1343,1350,1340,6150000,0.03,ICICIBANK
2025-12-30,1343,1343,1347,1338,18620000,-0.06,ICICIBANK
2025-12-29,1343,1352,1356,1342,6060000,-0.53,ICICIBANK
2025-12-26,1350,1357,1362,1349,2810000,-0.69,ICICIBANK
2025-12-24,1360,1364,1368,1358,8960000,-0.23,ICICIBANK
2025-12-23,1363,1361,1365,1357,9110000,-0.4,ICICIBANK
2025-12-22,1369,1358,1371,1355,9380000,1.06,ICICIBANK
2025-12-19,1354,1354,1360,1351,14320000,-0.2,ICICIBANK
2025-12-18,1357,1346,1370,1346,7310000,0.33,ICICIBANK
2025-12-17,1352,1365,1365,1343,9440000,-1,ICICIBANK
2025-12-16,1366,1364,1369,1356,12360000,0.06,ICICIBANK
2025-12-15,1365,1356,1370,1356,5340000,-0.06,ICICIBANK
2025-12-12,1366,1368,1371,1363,3890000,0.44,ICICIBANK
2025-12-11,1360,1364,1367,1353,6730000,-0.26,ICICIBANK
2025-12-10,1364,1378,1379,1358,8730000,-0.84,ICICIBANK
2025-12-09,1375,1380,1384,1373,10490000,-1.04,ICICIBANK
2025-12-08,1390,1387,1395,1383,7830000,-0.21,ICICIBANK
2025-12-05,1393,1381,1395,1381,4940000,0.42,ICICIBANK
2025-12-04,1387,1387,1392,1380,7370000,-0.34,ICICIBANK
2025-12-03,1392,1367,1394,1367,7960000,1.35,ICICIBANK
2025-12-02,1373,1382,1382,1371,12130000,-1.23,ICICIBANK
2025-12-01,1390,1394,1400,1385,8870000,0.09,ICICIBANK
2025-11-28,1389,1392,1399,1386,7680000,-0.24,ICICIBANK
2025-11-27,1392,1379,1394,1376,15160000,1.25,ICICIBANK
