trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,287.7,293.6,294.45,287,24590000,-2.38,ITC
2026-03-27,294.7,294.7,296.85,291.55,22180000,-0.34,ITC
2026-03-25,295.7,292.7,298.5,292.25,26180000,1.53,ITC
2026-03-24,291.25,295.95,296,288.75,33340000,0.28,ITC
2026-03-23,290.45,298.9,299,289.55,31790000,-3.17,ITC
2026-03-20,299.95,301.05,308.75,298.15,58680000,0.65,ITC
2026-03-19,298,301.5,305.5,297.1,17850000,-1.99,ITC
2026-03-18,304.05,305.9,306.95,303.5,16700000,-0.26,ITC
2026-03-17,304.85,309.95,309.95,304.05,25650000,-1.1,ITC
2026-03-16,308.25,302.55,309.45,302,37470000,2.26,ITC
2026-03-13,301.45,304,306,300.65,25660000,-0.87,ITC
2026-03-12,304.1,307.05,308,302.85,23320000,-1.59,ITC
2026-03-11,309,309.05,310.65,307.7,14840000,-0.02,ITC
2026-03-10,309.05,309,310,303.75,18350000,1,ITC
2026-03-09,306,305,307.2,303.6,14080000,-1.19,ITC
2026-03-06,309.7,310.05,312.3,309.2,21290000,-0.58,ITC
2026-03-05,311.5,312.2,313.6,308.2,19940000,-0.14,ITC
2026-03-04,311.95,310.6,315.5,310.5,24170000,-0.94,ITC
2026-03-02,314.9,307,315.75,307,22190000,0.41,ITC
2026-02-27,313.6,316,317.75,312.65,13890000,-1.48,ITC
2026-02-26,318.3,320,321.4,317.6,11270000,-0.45,ITC
2026-02-25,319.75,325.5,326.6,318.1,13490000,-1.16,ITC
2026-02-24,323.5,324,325.4,322.05,13140000,-0.58,ITC
2026-02-23,325.4,327,328.1,324.4,13490000,-0.49,ITC
2026-02-20,327,325.05,327.85,325.05,11280000,0.31,ITC
2026-02-19,326,334.05,334.25,325,19910000,-1.94,ITC
2026-02-18,332.45,326,332.95,324.8,35470000,2.15,ITC
2026-02-17,325.45,318.45,328.05,318.15,39360000,2.36,ITC
2026-02-16,317.95,313.75,318.25,313.15,11690000,1.34,ITC
2026-02-13,313.75,316,318.4,313.25,8730000,-1.17,ITC
2026-02-12,317.45,317.3,320.4,316.9,13290000,-0.25,ITC
2026-02-11,318.25,321.95,322.2,316.3,24840000,-0.98,ITC
2026-02-10,321.4,323,323.55,320.75,11490000,-0.43,ITC
2026-02-09,322.8,327.95,328.7,321.65,20060000,-0.92,ITC
2026-02-06,325.8,310,327.7,308.3,68060000,5.03,ITC
2026-02-05,310.2,313.95,315.35,309.3,15820000,-1.16,ITC
2026-02-04,313.85,312.5,314.95,311.35,11200000,-0.88,ITC
2026-02-03,316.65,321.2,324.75,311.6,33170000,0.62,ITC
2026-02-02,314.7,309.45,315.4,302,35230000,1.7,ITC
2026-02-01,309.45,324.6,324.6,306.05,33280000,-3.94,ITC
2026-01-30,322.15,318.8,325.15,316.45,41980000,1.11,ITC
2026-01-29,318.6,322.6,322.6,318.05,17720000,-0.79,ITC
2026-01-28,321.15,319.95,323.7,319.35,28400000,0.78,ITC
2026-01-27,318.65,323.6,324.7,317.85,47850000,-1.47,ITC
2026-01-23,323.4,325.55,326.4,322.7,11950000,-0.45,ITC
2026-01-22,324.85,326.1,328.7,321.05,18620000,0.03,ITC
2026-01-21,324.75,326,329.3,324.35,14180000,-0.48,ITC
2026-01-20,326.3,334.05,334.5,325.5,18770000,-2.07,ITC
2026-01-19,333.2,330,334.65,327.3,15510000,1.22,ITC
2026-01-16,329.2,337.5,337.5,328.55,30530000,-1.66,ITC
2026-01-14,334.75,336,336,333.45,14910000,0.01,ITC
2026-01-13,334.7,339,339.5,333.7,24920000,-1.09,ITC
2026-01-12,338.4,338.25,339.5,335.8,16160000,0.37,ITC
2026-01-09,337.15,340.9,341,336.1,35190000,-1.1,ITC
2026-01-08,340.9,341.5,345.15,339.05,36710000,-0.1,ITC
2026-01-07,341.25,343,344.55,339.3,29440000,-0.35,ITC
2026-01-06,342.45,350.25,350.7,337.75,72580000,-2.07,ITC
2026-01-05,349.7,350.2,353.95,346.05,48360000,-0.1,ITC
2026-01-02,350.05,360,360,345.25,118790000,-3.79,ITC
2026-01-01,363.85,402.7,402.7,362.7,282630000,-9.71,ITC
2025-12-31,403,401.1,403.75,400.85,9950000,0.6,ITC
2025-12-30,400.6,403,403.45,400.3,12340000,-0.5,ITC
2025-12-29,402.6,404.1,404.8,401.45,6650000,-0.38,ITC
2025-12-26,404.15,406.5,407.15,403.85,3150000,-0.6,ITC
2025-12-24,406.6,407.95,409.5,405.65,5780000,-0.18,ITC
2025-12-23,407.35,402.5,408.9,401.8,10080000,1.15,ITC
2025-12-22,402.7,401.6,403.65,401.2,6850000,0.41,ITC
2025-12-19,401.05,400.25,402.65,400.25,10650000,0.16,ITC
2025-12-18,400.4,400,401.95,399.85,7230000,0.15,ITC
2025-12-17,399.8,401,403.1,399.1,8090000,-0.47,ITC
2025-12-16,401.7,401.4,405.75,401.05,12350000,-0.15,ITC
2025-12-15,402.3,400.1,403.35,399.5,7760000,0.55,ITC
2025-12-12,400.1,402.9,404,399.85,12410000,-0.69,ITC
2025-12-11,402.9,403.15,404,401.1,6980000,-0.06,ITC
2025-12-10,403.15,401.1,404.4,401,6970000,0.52,ITC
2025-12-09,401.05,402,404.5,400,9430000,-0.31,ITC
2025-12-08,402.3,404.95,405.25,400.55,6060000,-0.65,ITC
2025-12-05,404.95,403.05,405.35,402,4420000,0.47,ITC
2025-12-04,403.05,400.1,403.55,399.05,8060000,0.64,ITC
2025-12-03,400.5,401.7,402.2,398.85,10770000,-0.11,ITC
2025-12-02,400.95,404.25,405.5,400.5,8090000,-0.82,ITC
2025-12-01,404.25,402.8,405.5,398.2,13440000,0,ITC
2025-11-28,404.25,404.3,405,402.5,6880000,-0.01,ITC
2025-11-27,404.3,403.5,405.95,402.1,8680000,0.5,ITC
2025-11-26,402.3,401,403.95,400.95,11440000,0.37,ITC
2025-11-25,400.8,403.55,404.5,400.1,8200000,-0.68,ITC
2025-11-24,403.55,408.4,408.8,402.85,11040000,-1.05,ITC
2025-11-21,407.85,405,408.5,404.7,5810000,0.59,ITC
2025-11-20,405.45,403.55,407,403.25,6690000,0.47,ITC
2025-11-19,403.55,404.85,405.55,402.8,7880000,-0.57,ITC
2025-11-18,405.85,408.25,409.8,404.55,7660000,-0.31,ITC
2025-11-17,407.1,409.75,412,406,7860000,-0.26,ITC
2025-11-14,408.15,404.7,408.75,400.1,64020000,0.6,ITC
2025-11-13,405.7,407,407.5,404.5,6620000,-0.32,ITC
2025-11-12,407,408,408.1,405.55,7990000,0.04,ITC
