trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-09-30,1442,1443,1452,1438,7560000,0,INFY
2025-10-01,1446,1446,1450,1427,6250000,0.28,INFY
2025-10-03,1447,1439,1448,1433,6880000,0.06,INFY
2025-10-06,1476,1447,1479,1442,4630000,2.03,INFY
2025-10-07,1459,1478,1483,1454,5570000,-1.19,INFY
2025-10-08,1495,1457,1498,1455,4660000,2.5,INFY
2025-10-09,1509,1502,1514,1487,7030000,0.96,INFY
2025-10-10,1515,1510,1522,1499,3740000,0.37,INFY
2025-10-13,1493,1497,1505,1483,5860000,-1.43,INFY
2025-10-14,1490,1499,1514,1487,5600000,-0.22,INFY
2025-10-15,1474,1484,1489,1468,6990000,-1.04,INFY
2025-10-16,1472,1474,1475,1461,8010000,-0.2,INFY
2025-10-17,1441,1455,1458,1434,16960000,-2.07,INFY
2025-10-20,1461,1454,1467,1450,6990000,1.37,INFY
2025-10-21,1472,1478,1486,1470,1700000,0.79,INFY
2025-10-23,1529,1510,1546,1506,20360000,3.81,INFY
2025-10-24,1525,1540,1543,1518,8650000,-0.2,INFY
2025-10-27,1505,1510,1515,1498,7270000,-1.37,INFY
2025-10-28,1500,1500,1507,1491,8210000,-0.29,INFY
2025-10-29,1510,1500,1520,1497,4880000,0.68,INFY
2025-10-30,1494,1507,1508,1489,5610000,-1.1,INFY
2025-10-31,1482,1490,1497,1481,4820000,-0.77,INFY
2025-11-03,1486,1482,1491,1474,5470000,0.22,INFY
2025-11-04,1468,1480,1482,1463,8690000,-1.18,INFY
2025-11-06,1467,1479,1483,1462,7940000,-0.08,INFY
2025-11-07,1477,1470,1481,1449,8770000,0.69,INFY
2025-11-10,1514,1490,1520,1490,9790000,2.49,INFY
2025-11-11,1530,1525,1533,1511,13690000,1.11,INFY
2025-11-12,1552,1540,1559,1538,14640000,1.4,INFY
2025-11-13,1542,1557,1558,1530,19660000,-0.64,INFY
2025-11-14,1503,1520,1530,1489,9740000,-2.53,INFY
2025-11-17,1508,1496,1510,1493,7910000,0.32,INFY
2025-11-18,1486,1506,1506,1483,7530000,-1.41,INFY
2025-11-19,1541,1491,1543,1491,10980000,3.68,INFY
2025-11-20,1537,1555,1555,1534,7390000,-0.3,INFY
2025-11-21,1545,1531,1552,1526,9190000,0.55,INFY
2025-11-24,1548,1564,1585,1541,19270000,0.19,INFY
2025-11-25,1531,1549,1551,1526,8110000,-1.12,INFY
2025-11-26,1558,1532,1560,1532,7580000,1.78,INFY
2025-11-27,1566,1564,1574,1552,7550000,0.55,INFY
2025-11-28,1560,1565,1568,1557,4450000,-0.4,INFY
2025-12-01,1564,1563,1574,1556,5340000,0.25,INFY
2025-12-02,1561,1567,1580,1556,6340000,-0.19,INFY
2025-12-03,1579,1555,1586,1554,12900000,1.13,INFY
2025-12-04,1598,1568,1599,1568,12610000,1.2,INFY
2025-12-05,1616,1610,1632,1600,10340000,1.16,INFY
2025-12-08,1611,1617,1630,1600,7550000,-0.33,INFY
2025-12-09,1599,1601,1607,1582,6960000,-0.73,INFY
2025-12-10,1585,1608,1608,1583,5120000,-0.89,INFY
2025-12-11,1598,1598,1607,1581,5160000,0.83,INFY
2025-12-12,1598,1601,1602,1583,4630000,0.01,INFY
2025-12-15,1607,1585,1611,1585,4190000,0.54,INFY
2025-12-16,1593,1600,1603,1586,5500000,-0.87,INFY
2025-12-17,1602,1587,1607,1586,4820000,0.57,INFY
2025-12-18,1627,1611,1630,1607,6580000,1.55,INFY
2025-12-19,1639,1650,1655,1630,13150000,0.73,INFY
2025-12-22,1690,1664,1693,1664,23100000,3.11,INFY
2025-12-23,1668,1679,1679,1656,6590000,-1.26,INFY
2025-12-24,1663,1661,1668,1653,4270000,-0.29,INFY
2025-12-26,1656,1663,1669,1652,2010000,-0.44,INFY
2025-12-29,1645,1658,1673,1637,4060000,-0.69,INFY
2025-12-30,1622,1647,1648,1617,9400000,-1.4,INFY
2025-12-31,1615,1621,1629,1609,6540000,-0.38,INFY
2026-01-01,1630,1615,1640,1614,3660000,0.89,INFY
2026-01-02,1640,1636,1644,1628,2520000,0.65,INFY
2026-01-05,1606,1637,1637,1583,5920000,-2.07,INFY
2026-01-06,1612,1600,1620,1599,4470000,0.36,INFY
2026-01-07,1639,1615,1642,1615,4510000,1.66,INFY
2026-01-08,1613,1639,1644,1609,3940000,-1.57,INFY
2026-01-09,1614,1610,1631,1607,6820000,0.05,INFY
2026-01-12,1596,1610,1613,1593,6990000,-1.13,INFY
2026-01-13,1599,1618,1618,1586,8080000,0.19,INFY
2026-01-14,1600,1588,1617,1583,7560000,0.05,INFY
2026-01-16,1690,1664,1694,1653,19340000,5.63,INFY
2026-01-19,1681,1685,1685,1667,5100000,-0.51,INFY
2026-01-20,1659,1673,1680,1653,6410000,-1.33,INFY
2026-01-21,1654,1651,1657,1631,6220000,-0.27,INFY
2026-01-22,1664,1666,1671,1654,6230000,0.55,INFY
2026-01-23,1671,1667,1676,1662,5870000,0.44,INFY
2026-01-27,1683,1686,1689,1661,10670000,0.71,INFY
2026-01-28,1667,1680,1689,1650,8590000,-0.96,INFY
2026-01-29,1660,1658,1667,1642,4750000,-0.42,INFY
2026-01-30,1641,1655,1655,1618,9210000,-1.11,INFY
2026-02-01,1655,1630,1677,1604,6240000,0.82,INFY
2026-02-02,1629,1662,1662,1618,6780000,-1.52,INFY
2026-02-03,1656,1727,1728,1653,8810000,1.63,INFY
2026-02-04,1536,1574,1585,1510,28830000,-7.26,INFY
2026-02-05,1520,1534,1551,1516,10630000,-1.02,INFY
2026-02-06,1507,1522,1525,1480,13900000,-0.86,INFY
2026-02-09,1497,1522,1528,1493,8290000,-0.66,INFY
2026-02-10,1498,1500,1516,1491,8660000,0.04,INFY
2026-02-11,1472,1501,1506,1469,7930000,-1.73,INFY
2026-02-12,1386,1429,1436,1381,26050000,-5.84,INFY
2026-02-13,1369,1294,1377,1282,45790000,-1.22,INFY
2026-02-16,1366,1374,1376,1338,14620000,-0.26,INFY
2026-02-17,1391,1370,1431,1367,25350000,1.87,INFY
2026-02-18,1374,1391,1401,1345,20240000,-1.26,INFY
2026-02-19,1371,1385,1402,1363,14570000,-0.23,INFY
2026-02-20,1353,1359,1365,1338,12630000,-1.26,INFY
2026-02-23,1328,1352,1352,1318,12890000,-1.9,INFY
2026-02-24,1276,1301,1304,1264,27840000,-3.92,INFY
2026-02-25,1290,1286,1324,1286,16670000,1.14,INFY
2026-02-26,1289,1306,1314,1286,11490000,-0.08,INFY
2026-02-27,1300,1326,1335,1294,23140000,0.85,INFY
2026-03-02,1289,1291,1299,1273,9700000,-0.86,INFY
2026-03-04,1307,1292,1317,1292,15150000,1.44,INFY
2026-03-05,1306,1320,1320,1290,10360000,-0.12,INFY
2026-03-06,1308,1303,1327,1303,8720000,0.2,INFY
2026-03-09,1315,1290,1318,1283,10070000,0.5,INFY
2026-03-10,1296,1320,1321,1284,9600000,-1.48,INFY
2026-03-11,1276,1288,1300,1271,7870000,-1.49,INFY
2026-03-12,1266,1273,1279,1258,7600000,-0.82,INFY
2026-03-13,1248,1251,1270,1243,7370000,-1.38,INFY
2026-03-16,1250,1240,1254,1224,12310000,0.12,INFY
2026-03-17,1233,1245,1245,1215,11220000,-1.35,INFY
2026-03-18,1267,1238,1291,1235,12370000,2.77,INFY
2026-03-19,1221,1244,1255,1215,9160000,-3.65,INFY
2026-03-20,1256,1242,1265,1229,27300000,2.88,INFY
2026-03-23,1257,1238,1261,1227,12420000,0.07,INFY
2026-03-24,1278,1269,1297,1251,13610000,1.71,INFY
2026-03-25,1279,1270,1291,1257,10820000,0.06,INFY
2026-03-27,1270,1285,1295,1263,13090000,-0.73,INFY
2026-03-30,1251,1250,1266,1243,14110000,-1.5,INFY
