trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,12306,12300,12424,12201,635680,-0.67,MARUTI
2026-03-27,12389,12626,12646,12342,775340,-2.53,MARUTI
2026-03-25,12711,12549,12780,12506,540650,1.98,MARUTI
2026-03-24,12464,12600,12650,12332,583570,0.88,MARUTI
2026-03-23,12355,12501,12501,12278,517990,-1.95,MARUTI
2026-03-20,12601,12605,12756,12556,725480,0.02,MARUTI
2026-03-19,12599,12768,12838,12505,569350,-3.44,MARUTI
2026-03-18,13048,13100,13176,13015,458830,0.59,MARUTI
2026-03-17,12972,12790,13100,12686,1180000,1.69,MARUTI
2026-03-16,12757,12532,12874,12400,1420000,1.32,MARUTI
2026-03-13,12591,12899,12962,12483,939590,-3.23,MARUTI
2026-03-12,13011,13430,13430,12966,544680,-3.6,MARUTI
2026-03-11,13497,13850,13948,13441,392180,-2.67,MARUTI
2026-03-10,13867,13721,13909,13505,353720,2.66,MARUTI
2026-03-09,13508,13800,13800,13365,676220,-4.6,MARUTI
2026-03-06,14159,14339,14466,14115,390630,-1.78,MARUTI
2026-03-05,14415,14300,14570,14081,448650,1.82,MARUTI
2026-03-04,14158,14150,14184,13794,710370,-1.6,MARUTI
2026-03-02,14388,14407,14684,14204,603740,-3.16,MARUTI
2026-02-27,14857,15110,15192,14804,478160,-2.34,MARUTI
2026-02-26,15213,15145,15224,15046,308210,0.95,MARUTI
2026-02-25,15070,14860,15133,14837,356500,0.96,MARUTI
2026-02-24,14926,15001,15062,14904,300990,-0.97,MARUTI
2026-02-23,15072,15050,15118,14984,242970,0.63,MARUTI
2026-02-20,14977,14903,15077,14848,515850,0.5,MARUTI
2026-02-19,14903,15163,15279,14853,152790,-1.72,MARUTI
2026-02-18,15164,15208,15239,15074,280770,-0.1,MARUTI
2026-02-17,15179,15031,15211,14960,166770,0.85,MARUTI
2026-02-16,15051,15237,15299,14960,210180,-1.22,MARUTI
2026-02-13,15237,15309,15434,15190,208650,-0.58,MARUTI
2026-02-12,15326,15459,15459,15265,201900,-0.56,MARUTI
2026-02-11,15412,15180,15432,15174,360740,1.76,MARUTI
2026-02-10,15146,14999,15349,14983,360240,1.12,MARUTI
2026-02-09,14978,15125,15126,14905,200030,-0.13,MARUTI
2026-02-06,14997,15084,15118,14871,276530,-0.41,MARUTI
2026-02-05,15059,15090,15150,14900,374760,-0.08,MARUTI
2026-02-04,15071,14800,15170,14723,451070,1.96,MARUTI
2026-02-03,14782,15200,15281,14482,638870,2.77,MARUTI
2026-02-02,14384,14251,14446,14058,621510,1.3,MARUTI
2026-02-01,14199,14650,14796,14136,393680,-2.74,MARUTI
2026-01-30,14599,14502,14679,14300,946510,0.67,MARUTI
2026-01-29,14502,14870,14870,14353,716550,-2.52,MARUTI
2026-01-28,14877,15161,15294,14431,1580000,-2.41,MARUTI
2026-01-27,15245,15300,15387,15013,565770,-1.45,MARUTI
2026-01-23,15469,15819,15846,15439,338670,-1.88,MARUTI
2026-01-22,15765,15950,15971,15714,352320,-0.03,MARUTI
2026-01-21,15770,15675,15973,15675,345740,-0.69,MARUTI
2026-01-20,15879,16200,16233,15850,289610,-1.84,MARUTI
2026-01-19,16176,15859,16242,15813,385140,2,MARUTI
2026-01-16,15859,16000,16197,15770,703060,-1.81,MARUTI
2026-01-14,16152,16390,16412,16090,240040,-1.67,MARUTI
2026-01-13,16426,16662,16726,16293,312210,-0.94,MARUTI
2026-01-12,16582,16456,16615,16271,288690,0.49,MARUTI
2026-01-09,16501,16663,16704,16417,286300,-0.98,MARUTI
2026-01-08,16664,16808,16808,16541,238420,-0.86,MARUTI
2026-01-07,16809,17230,17249,16524,427980,-2.79,MARUTI
2026-01-06,17292,17170,17306,17142,192180,0.8,MARUTI
2026-01-05,17155,17025,17370,16980,305670,1.15,MARUTI
2026-01-02,16960,16750,16999,16723,388560,1.51,MARUTI
2026-01-01,16708,16700,16798,16602,171290,0.07,MARUTI
2025-12-31,16697,16581,16776,16581,314430,0.3,MARUTI
