trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,285,283,288,282,44870000,0.96,ONGC
2026-03-27,282,271,285,270,60050000,4.35,ONGC
2026-03-25,270,267,272,266,13380000,0.8,ONGC
2026-03-24,268,269,273,267,18570000,0.98,ONGC
2026-03-23,265,267,270,264,23990000,0.02,ONGC
2026-03-20,265,269,273,264,19440000,-1.37,ONGC
2026-03-19,269,265,272,263,28690000,1.55,ONGC
2026-03-18,265,265,267,263,8780000,0.09,ONGC
2026-03-17,265,261,265,259,15660000,1.65,ONGC
2026-03-16,260,264,266,258,21730000,-1.38,ONGC
2026-03-13,264,271,271,263,18410000,-2.38,ONGC
2026-03-12,271,272,273,268,20060000,-0.07,ONGC
2026-03-11,271,268,272,268,16130000,0.58,ONGC
2026-03-10,269,271,271,265,18480000,-0.59,ONGC
2026-03-09,271,289,289,268,56510000,-2.92,ONGC
2026-03-06,279,280,281,271,30730000,0.94,ONGC
2026-03-05,276,278,288,275,40570000,-0.22,ONGC
2026-03-04,277,287,288,275,53720000,-1.86,ONGC
2026-03-02,282,288,293,278,65840000,0.89,ONGC
2026-02-27,280,279,283,277,18550000,-0.14,ONGC
2026-02-26,280,277,281,276,13300000,0.96,ONGC
2026-02-25,277,277,279,274,7570000,0.34,ONGC
2026-02-24,277,276,278,273,16310000,0.31,ONGC
2026-02-23,276,280,280,272,13110000,-1.08,ONGC
2026-02-20,279,277,281,274,31970000,1.46,ONGC
2026-02-19,275,270,276,268,37730000,3.8,ONGC
2026-02-18,265,265,266,263,11620000,-2.67,ONGC
2026-02-17,272,273,273,268,21290000,0.11,ONGC
2026-02-16,272,268,272,266,13250000,1.55,ONGC
2026-02-13,267,270,271,266,20750000,-3.24,ONGC
2026-02-12,276,276,280,273,22750000,0.64,ONGC
2026-02-11,275,272,275,266,18390000,0.9,ONGC
2026-02-10,272,267,273,267,13460000,2.08,ONGC
2026-02-09,267,269,271,266,10820000,-0.87,ONGC
2026-02-06,269,268,270,265,10010000,-0.09,ONGC
2026-02-05,269,268,270,266,15270000,0.84,ONGC
2026-02-04,267,258,270,258,26630000,3.87,ONGC
2026-02-03,257,260,262,249,19210000,1.2,ONGC
2026-02-02,254,252,257,248,17020000,-0.14,ONGC
2026-02-01,254,269,276,253,17180000,-5.45,ONGC
2026-01-30,269,274,277,268,24420000,-2.33,ONGC
2026-01-29,275,270,278,269,48270000,2.54,ONGC
2026-01-28,269,249,270,249,73430000,8.32,ONGC
2026-01-27,248,247,249,246,15920000,1.01,ONGC
2026-01-23,245,245,246,242,8080000,0.6,ONGC
2026-01-22,244,245,246,243,10750000,0.68,ONGC
2026-01-21,242,240,244,240,9610000,0.82,ONGC
2026-01-20,240,243,245,240,6500000,-1.12,ONGC
2026-01-19,243,245,248,242,6460000,-1.64,ONGC
2026-01-16,247,247,248,242,12290000,-0.43,ONGC
2026-01-14,248,244,251,244,33090000,1.83,ONGC
2026-01-13,244,238,244,236,22530000,3.42,ONGC
2026-01-12,236,234,236,232,9810000,0.69,ONGC
2026-01-09,234,232,238,232,12710000,1.15,ONGC
2026-01-08,231,238,239,231,9220000,-3.2,ONGC
2026-01-07,239,240,242,238,8250000,-1.17,ONGC
2026-01-06,242,238,242,238,10840000,1.6,ONGC
2026-01-05,238,247,247,236,21200000,-1.4,ONGC
2026-01-02,241,238,243,238,5930000,1.48,ONGC
2026-01-01,238,241,241,237,5840000,-1.02,ONGC
2025-12-31,240,235,241,235,11510000,2.43,ONGC
2025-12-30,235,235,236,233,6240000,-0.06,ONGC
2025-12-29,235,235,239,234,12620000,0.12,ONGC
2025-12-26,235,234,235,233,3710000,0.33,ONGC
2025-12-24,234,236,237,233,4110000,-0.73,ONGC
2025-12-23,235,235,238,235,5810000,0.56,ONGC
2025-12-22,234,234,235,233,4610000,0.55,ONGC
2025-12-19,233,232,234,232,5070000,0.38,ONGC
2025-12-18,232,233,234,231,3960000,-0.39,ONGC
2025-12-17,233,232,233,229,5850000,0.3,ONGC
2025-12-16,232,234,235,231,7240000,-1.33,ONGC
2025-12-15,235,238,239,230,12330000,-1.12,ONGC
2025-12-12,238,239,239,237,4250000,-0.16,ONGC
2025-12-11,238,239,241,238,8870000,-0.37,ONGC
2025-12-10,239,239,240,238,3490000,-0.23,ONGC
2025-12-09,240,238,240,237,9030000,0.55,ONGC
2025-12-08,239,241,242,238,5290000,-1.12,ONGC
2025-12-05,241,243,243,241,7650000,-0.41,ONGC
2025-12-04,242,241,243,240,10830000,0.92,ONGC
2025-12-03,240,244,244,240,11830000,-1.45,ONGC
2025-12-02,244,244,246,243,5410000,-0.53,ONGC
2025-12-01,245,244,246,243,6310000,0.65,ONGC
2025-11-28,243,245,245,243,3800000,-0.31,ONGC
2025-11-27,244,248,249,243,5600000,-1.49,ONGC
2025-11-26,248,245,248,245,7230000,0.96,ONGC
2025-11-25,245,246,248,245,8980000,-0.16,ONGC
2025-11-24,246,247,247,244,15880000,-0.49,ONGC
2025-11-21,247,247,248,246,7590000,-0.44,ONGC
2025-11-20,248,249,251,248,6920000,-0.38,ONGC
2025-11-19,249,247,250,245,7080000,0.83,ONGC
2025-11-18,247,247,249,246,7710000,-0.44,ONGC
2025-11-17,248,248,250,247,6280000,0.18,ONGC
2025-11-14,248,246,250,245,9190000,-1.3,ONGC
2025-11-13,251,254,254,247,13060000,-1.18,ONGC
2025-11-12,254,253,256,250,11920000,1.76,ONGC
2025-11-11,249,254,254,246,16180000,-0.78,ONGC
2025-11-10,251,252,256,250,7420000,-0.32,ONGC
2025-11-07,252,250,254,250,4450000,0.28,ONGC
2025-11-06,252,254,256,250,6990000,-0.34,ONGC
2025-11-04,252,256,258,252,6010000,-2.02,ONGC
2025-11-03,258,255,259,254,5450000,0.85,ONGC
2025-10-31,255,255,258,253,7200000,0.33,ONGC
2025-10-30,255,257,257,253,5270000,-0.43,ONGC
2025-10-29,256,251,257,251,8810000,2.04,ONGC
2025-10-28,251,253,254,250,8530000,-1.08,ONGC
2025-10-27,253,255,256,252,7890000,-0.66,ONGC
2025-10-24,255,254,257,253,17880000,1.05,ONGC
2025-10-23,252,250,253,249,13880000,1.69,ONGC
2025-10-21,248,249,249,247,569980,-0.25,ONGC
2025-10-20,249,248,249,245,10920000,0.42,ONGC
2025-10-17,248,249,249,245,14250000,-0.27,ONGC
2025-10-16,248,248,249,246,6080000,0.25,ONGC
2025-10-15,248,245,248,244,8520000,1.24,ONGC
2025-10-14,245,245,249,244,13870000,0.25,ONGC
2025-10-13,244,245,246,241,12610000,-0.91,ONGC
2025-10-10,246,244,247,244,9050000,1.21,ONGC
2025-10-09,243,242,245,241,9290000,0.65,ONGC
2025-10-08,242,247,247,241,5070000,-1.43,ONGC
2025-10-07,245,246,250,245,12500000,-0.22,ONGC
2025-10-06,246,243,248,243,9470000,0.9,ONGC
2025-10-03,244,243,244,240,10700000,0.26,ONGC
2025-10-01,243,239,246,238,10380000,1.48,ONGC
2025-09-30,240,240,241,239,7170000,-0.2,ONGC
