trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-09-30,1364,1377,1377,1363,14600000,-0.64,RELIANCE
2025-10-01,1369,1367,1379,1363,12050000,0.34,RELIANCE
2025-10-03,1363,1363,1372,1357,12840000,-0.39,RELIANCE
2025-10-06,1375,1360,1377,1359,12400000,0.85,RELIANCE
2025-10-07,1385,1376,1396,1376,11240000,0.71,RELIANCE
2025-10-08,1367,1385,1389,1365,8530000,-1.26,RELIANCE
2025-10-09,1378,1374,1380,1369,8830000,0.76,RELIANCE
2025-10-10,1382,1378,1388,1375,6370000,0.28,RELIANCE
2025-10-13,1375,1377,1378,1368,7600000,-0.48,RELIANCE
2025-10-14,1376,1380,1388,1370,9770000,0.07,RELIANCE
2025-10-15,1374,1383,1384,1373,10880000,-0.12,RELIANCE
2025-10-16,1398,1375,1401,1375,12320000,1.75,RELIANCE
2025-10-17,1417,1401,1423,1399,19340000,1.32,RELIANCE
2025-10-20,1467,1440,1474,1433,24720000,3.53,RELIANCE
2025-10-21,1465,1468,1474,1460,2070000,-0.11,RELIANCE
2025-10-23,1448,1475,1483,1445,18710000,-1.15,RELIANCE
2025-10-24,1452,1450,1460,1441,9700000,0.22,RELIANCE
2025-10-27,1484,1463,1485,1458,14110000,2.24,RELIANCE
2025-10-28,1487,1484,1492,1478,17630000,0.19,RELIANCE
2025-10-29,1504,1490,1508,1488,11880000,1.16,RELIANCE
2025-10-30,1489,1500,1503,1484,9320000,-1.04,RELIANCE
2025-10-31,1486,1490,1498,1482,8760000,-0.14,RELIANCE
2025-11-03,1485,1486,1495,1479,8450000,-0.11,RELIANCE
2025-11-04,1473,1484,1493,1470,10010000,-0.78,RELIANCE
2025-11-06,1496,1484,1502,1476,16770000,1.56,RELIANCE
2025-11-07,1478,1495,1498,1476,7820000,-1.21,RELIANCE
2025-11-10,1489,1478,1501,1476,7070000,0.76,RELIANCE
2025-11-11,1493,1497,1499,1480,7130000,0.28,RELIANCE
2025-11-12,1512,1505,1525,1500,12380000,1.21,RELIANCE
2025-11-13,1511,1515,1522,1507,7200000,-0.04,RELIANCE
2025-11-14,1519,1506,1521,1506,7680000,0.53,RELIANCE
2025-11-17,1518,1521,1524,1512,5870000,-0.04,RELIANCE
2025-11-18,1519,1522,1528,1511,11050000,0.07,RELIANCE
2025-11-19,1519,1517,1522,1512,5690000,-0.03,RELIANCE
2025-11-20,1549,1530,1551,1527,18170000,1.99,RELIANCE
2025-11-21,1547,1541,1558,1540,9620000,-0.16,RELIANCE
2025-11-24,1536,1550,1550,1532,18430000,-0.69,RELIANCE
2025-11-25,1540,1536,1560,1525,15030000,0.25,RELIANCE
2025-11-26,1570,1542,1572,1541,14050000,1.96,RELIANCE
2025-11-27,1563,1575,1576,1556,9790000,-0.41,RELIANCE
2025-11-28,1568,1568,1581,1563,8960000,0.26,RELIANCE
2025-12-01,1566,1575,1578,1564,8920000,-0.09,RELIANCE
2025-12-02,1546,1561,1568,1542,11390000,-1.26,RELIANCE
2025-12-03,1539,1545,1552,1533,6090000,-0.49,RELIANCE
2025-12-04,1536,1536,1561,1518,11870000,-0.21,RELIANCE
2025-12-05,1541,1530,1546,1521,10180000,0.33,RELIANCE
2025-12-08,1543,1539,1551,1535,11300000,0.16,RELIANCE
2025-12-09,1529,1540,1543,1520,11500000,-0.88,RELIANCE
2025-12-10,1537,1534,1548,1531,7990000,0.49,RELIANCE
2025-12-11,1545,1537,1550,1524,4710000,0.53,RELIANCE
2025-12-12,1557,1551,1560,1546,5110000,0.74,RELIANCE
2025-12-15,1556,1551,1559,1547,5770000,-0.02,RELIANCE
2025-12-16,1542,1545,1552,1539,11730000,-0.89,RELIANCE
2025-12-17,1544,1550,1550,1539,7120000,0.14,RELIANCE
2025-12-18,1544,1535,1552,1535,6580000,0,RELIANCE
2025-12-19,1565,1554,1574,1551,13940000,1.34,RELIANCE
2025-12-22,1575,1574,1578,1565,10180000,0.66,RELIANCE
2025-12-23,1571,1581,1581,1568,7510000,-0.3,RELIANCE
2025-12-24,1558,1573,1576,1554,8820000,-0.8,RELIANCE
2025-12-26,1559,1555,1561,1554,2310000,0.06,RELIANCE
2025-12-29,1546,1555,1558,1544,5970000,-0.87,RELIANCE
2025-12-30,1540,1547,1554,1538,8820000,-0.38,RELIANCE
2025-12-31,1570,1541,1577,1541,5770000,1.99,RELIANCE
2026-01-01,1576,1574,1593,1571,6410000,0.33,RELIANCE
2026-01-02,1592,1580,1595,1578,6600000,1.06,RELIANCE
2026-01-05,1578,1593,1612,1575,8700000,-0.89,RELIANCE
2026-01-06,1508,1569,1569,1496,27420000,-4.47,RELIANCE
2026-01-07,1504,1510,1520,1498,11200000,-0.23,RELIANCE
2026-01-08,1471,1500,1504,1469,16520000,-2.23,RELIANCE
2026-01-09,1475,1465,1480,1465,8340000,0.32,RELIANCE
2026-01-12,1483,1475,1485,1451,8880000,0.54,RELIANCE
2026-01-13,1453,1485,1486,1445,13500000,-2.05,RELIANCE
2026-01-14,1459,1444,1467,1440,8320000,0.41,RELIANCE
2026-01-16,1458,1459,1480,1455,17170000,-0.06,RELIANCE
2026-01-19,1414,1451,1451,1403,20390000,-3.04,RELIANCE
2026-01-20,1394,1411,1416,1390,13190000,-1.39,RELIANCE
2026-01-21,1405,1390,1413,1373,17350000,0.76,RELIANCE
2026-01-22,1403,1410,1420,1395,15720000,-0.15,RELIANCE
2026-01-23,1386,1402,1407,1381,9840000,-1.17,RELIANCE
2026-01-27,1381,1380,1392,1368,26300000,-0.4,RELIANCE
2026-01-28,1397,1385,1410,1385,11120000,1.17,RELIANCE
2026-01-29,1391,1403,1403,1384,20850000,-0.41,RELIANCE
2026-01-30,1395,1383,1398,1379,11240000,0.32,RELIANCE
2026-02-01,1347,1396,1411,1335,9710000,-3.47,RELIANCE
2026-02-02,1390,1340,1393,1336,15710000,3.22,RELIANCE
2026-02-03,1437,1474,1490,1430,25460000,3.36,RELIANCE
2026-02-04,1457,1444,1464,1440,8330000,1.37,RELIANCE
2026-02-05,1443,1457,1462,1440,11760000,-0.92,RELIANCE
2026-02-06,1451,1442,1453,1434,8280000,0.51,RELIANCE
2026-02-09,1462,1458,1466,1453,5780000,0.74,RELIANCE
2026-02-10,1459,1471,1471,1452,10260000,-0.21,RELIANCE
2026-02-11,1469,1460,1470,1454,7110000,0.7,RELIANCE
2026-02-12,1449,1470,1473,1446,11140000,-1.35,RELIANCE
2026-02-13,1420,1446,1451,1416,10760000,-2.02,RELIANCE
2026-02-16,1437,1420,1440,1409,5900000,1.23,RELIANCE
2026-02-17,1423,1431,1432,1419,10730000,-0.98,RELIANCE
2026-02-18,1441,1427,1442,1419,5520000,1.29,RELIANCE
2026-02-19,1410,1443,1443,1400,11880000,-2.21,RELIANCE
2026-02-20,1419,1410,1427,1406,8180000,0.7,RELIANCE
2026-02-23,1428,1425,1435,1418,7760000,0.61,RELIANCE
2026-02-24,1429,1425,1433,1415,12530000,0.06,RELIANCE
2026-02-25,1399,1435,1441,1394,10730000,-2.12,RELIANCE
2026-02-26,1407,1399,1413,1392,16680000,0.59,RELIANCE
2026-02-27,1394,1398,1410,1388,12030000,-0.92,RELIANCE
2026-03-02,1358,1376,1379,1342,23730000,-2.58,RELIANCE
2026-03-04,1345,1330,1353,1307,32500000,-0.96,RELIANCE
2026-03-05,1389,1353,1399,1353,25960000,3.3,RELIANCE
2026-03-06,1405,1397,1424,1390,19310000,1.11,RELIANCE
2026-03-09,1424,1375,1429,1370,24870000,1.37,RELIANCE
2026-03-10,1409,1431,1432,1401,18070000,-1.07,RELIANCE
2026-03-11,1390,1425,1434,1384,21850000,-1.32,RELIANCE
2026-03-12,1392,1390,1411,1381,20940000,0.14,RELIANCE
2026-03-13,1381,1385,1401,1378,17270000,-0.83,RELIANCE
2026-03-16,1395,1380,1397,1364,22840000,1.04,RELIANCE
2026-03-17,1398,1399,1406,1388,19010000,0.18,RELIANCE
2026-03-18,1408,1397,1413,1397,9560000,0.75,RELIANCE
2026-03-19,1385,1388,1416,1376,16500000,-1.65,RELIANCE
2026-03-20,1414,1398,1430,1396,22990000,2.14,RELIANCE
2026-03-23,1408,1400,1416,1391,18980000,-0.47,RELIANCE
2026-03-24,1412,1420,1422,1407,18620000,0.28,RELIANCE
2026-03-25,1413,1420,1431,1408,19040000,0.09,RELIANCE
2026-03-27,1348,1401,1405,1345,23270000,-4.6,RELIANCE
2026-03-30,1344,1335,1365,1334,24390000,-0.31,RELIANCE
