trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-09-30,872,870,878,868,12830000,0.2,SBIN
2025-10-01,864,872,876,863,10830000,-0.96,SBIN
2025-10-03,867,865,873,864,8020000,0.37,SBIN
2025-10-06,874,868,875,863,7820000,0.78,SBIN
2025-10-07,865,874,877,863,9240000,-1.07,SBIN
2025-10-08,858,867,868,857,7160000,-0.75,SBIN
2025-10-09,862,862,866,858,7020000,0.45,SBIN
2025-10-10,881,862,884,861,13710000,2.15,SBIN
2025-10-13,883,879,888,876,11920000,0.26,SBIN
2025-10-14,877,883,884,872,7680000,-0.68,SBIN
2025-10-15,886,878,888,877,8270000,1.04,SBIN
2025-10-16,887,888,892,882,8490000,0.1,SBIN
2025-10-17,889,888,895,883,8510000,0.25,SBIN
2025-10-20,908,895,914,891,13550000,2.06,SBIN
2025-10-21,908,908,910,906,1780000,0.04,SBIN
2025-10-23,912,912,918,905,13380000,0.41,SBIN
2025-10-24,905,911,914,901,5310000,-0.77,SBIN
2025-10-27,923,907,928,906,9150000,2.02,SBIN
2025-10-28,930,927,936,918,22070000,0.81,SBIN
2025-10-29,940,934,942,930,12310000,1.02,SBIN
2025-10-30,934,939,945,933,13040000,-0.57,SBIN
2025-10-31,937,935,947,930,12080000,0.28,SBIN
2025-11-03,950,939,953,938,11740000,1.36,SBIN
2025-11-04,958,951,959,942,19150000,0.83,SBIN
2025-11-06,961,970,971,955,23090000,0.33,SBIN
2025-11-07,956,959,965,944,13370000,-0.51,SBIN
2025-11-10,951,956,963,949,7340000,-0.49,SBIN
2025-11-11,953,954,955,945,8650000,0.23,SBIN
2025-11-12,957,958,962,951,7040000,0.4,SBIN
2025-11-13,954,954,964,952,8890000,-0.33,SBIN
2025-11-14,968,953,969,952,11030000,1.45,SBIN
2025-11-17,973,971,976,969,7420000,0.57,SBIN
2025-11-18,972,976,977,969,6590000,-0.09,SBIN
2025-11-19,983,972,984,969,8290000,1.06,SBIN
2025-11-20,982,986,987,979,6440000,-0.12,SBIN
2025-11-21,973,980,981,971,5380000,-0.91,SBIN
2025-11-24,971,976,978,968,9900000,-0.21,SBIN
2025-11-25,984,976,989,971,9140000,1.34,SBIN
2025-11-26,984,987,999,982,13940000,0.03,SBIN
2025-11-27,973,987,989,969,11910000,-1.12,SBIN
2025-11-28,979,977,983,973,8120000,0.63,SBIN
2025-12-01,973,985,991,970,8810000,-0.6,SBIN
2025-12-02,967,976,980,965,13440000,-0.6,SBIN
2025-12-03,951,970,973,948,14050000,-1.68,SBIN
2025-12-04,948,951,953,944,13620000,-0.31,SBIN
2025-12-05,972,949,973,947,17350000,2.47,SBIN
2025-12-08,956,971,973,952,15390000,-1.55,SBIN
2025-12-09,959,955,964,950,9580000,0.31,SBIN
2025-12-10,960,960,964,955,6990000,0.04,SBIN
2025-12-11,963,962,967,958,5980000,0.36,SBIN
2025-12-12,963,966,967,958,5680000,-0.01,SBIN
2025-12-15,967,957,969,957,4420000,0.43,SBIN
2025-12-16,961,966,969,958,4760000,-0.63,SBIN
2025-12-17,976,966,979,964,8010000,1.53,SBIN
2025-12-18,978,978,981,974,4930000,0.17,SBIN
