trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2025-09-30,2888,2911,2915,2885,2250000,-0.27,TCS
2025-10-01,2914,2891,2925,2867,1950000,0.89,TCS
2025-10-03,2902,2924,2924,2891,2900000,-0.42,TCS
2025-10-06,2988,2902,2994,2896,2110000,2.98,TCS
2025-10-07,2974,2995,3005,2956,3060000,-0.49,TCS
2025-10-08,3027,2975,3043,2968,4120000,1.8,TCS
2025-10-09,3062,3034,3066,3020,3210000,1.14,TCS
2025-10-10,3028,3050,3070,3007,8820000,-1.09,TCS
2025-10-13,3007,3027,3036,2998,2870000,-0.7,TCS
2025-10-14,2960,3021,3027,2956,3610000,-1.56,TCS
2025-10-15,2970,2971,2980,2951,4280000,0.32,TCS
2025-10-16,2971,2970,2975,2943,3250000,0.03,TCS
2025-10-17,2962,2970,2989,2955,4370000,-0.29,TCS
2025-10-20,3015,2986,3023,2979,3130000,1.79,TCS
2025-10-21,3007,3031,3032,2996,310640,-0.28,TCS
2025-10-23,3073,3055,3098,3036,5560000,2.21,TCS
2025-10-24,3063,3080,3090,3058,2680000,-0.33,TCS
2025-10-27,3085,3067,3094,3060,1950000,0.71,TCS
2025-10-28,3058,3076,3090,3040,3470000,-0.88,TCS
2025-10-29,3058,3058,3076,3046,2900000,-0.01,TCS
2025-10-30,3035,3049,3064,3033,2240000,-0.73,TCS
2025-10-31,3058,3035,3067,3025,1870000,0.75,TCS
2025-11-03,3017,3047,3058,3010,2190000,-1.35,TCS
2025-11-04,2990,3020,3029,2976,2670000,-0.88,TCS
2025-11-06,3011,2990,3024,2990,2540000,0.69,TCS
2025-11-07,2992,3001,3004,2961,1830000,-0.63,TCS
2025-11-10,3025,2993,3048,2992,1560000,1.12,TCS
2025-11-11,3047,3045,3056,3018,2810000,0.72,TCS
2025-11-12,3132,3060,3136,3057,4460000,2.78,TCS
2025-11-13,3106,3132,3132,3102,1740000,-0.83,TCS
2025-11-14,3106,3090,3113,3077,2210000,0.01,TCS
2025-11-17,3102,3106,3124,3087,2230000,-0.12,TCS
2025-11-18,3087,3102,3105,3078,2550000,-0.49,TCS
2025-11-19,3148,3097,3155,3084,3150000,1.96,TCS
2025-11-20,3145,3148,3165,3138,2700000,-0.09,TCS
2025-11-21,3151,3145,3170,3135,4180000,0.18,TCS
2025-11-24,3141,3158,3179,3131,6700000,-0.3,TCS
2025-11-25,3119,3145,3150,3115,2740000,-0.7,TCS
2025-11-26,3163,3119,3178,3117,2510000,1.4,TCS
2025-11-27,3137,3180,3180,3125,2840000,-0.83,TCS
2025-11-28,3138,3140,3147,3125,1620000,0.03,TCS
2025-12-01,3133,3138,3154,3122,1750000,-0.13,TCS
2025-12-02,3136,3131,3144,3120,2510000,0.07,TCS
2025-12-03,3180,3140,3212,3139,3950000,1.41,TCS
2025-12-04,3229,3194,3250,3187,5030000,1.55,TCS
2025-12-05,3238,3230,3272,3222,5240000,0.28,TCS
2025-12-08,3237,3243,3260,3209,2540000,-0.05,TCS
2025-12-09,3208,3230,3234,3181,2730000,-0.87,TCS
2025-12-10,3189,3225,3225,3178,1390000,-0.6,TCS
2025-12-11,3192,3205,3208,3153,1910000,0.08,TCS
2025-12-12,3221,3198,3223,3186,1150000,0.9,TCS
2025-12-15,3230,3211,3238,3197,1560000,0.3,TCS
2025-12-16,3205,3220,3220,3191,1730000,-0.78,TCS
2025-12-17,3218,3201,3237,3201,1380000,0.4,TCS
2025-12-18,3281,3228,3288,3221,2310000,1.96,TCS
2025-12-19,3282,3299,3318,3279,3900000,0.04,TCS
2025-12-22,3325,3310,3329,3291,2630000,1.31,TCS
2025-12-23,3310,3320,3320,3294,2370000,-0.45,TCS
