trade_date,close_price,open_price,high_price,low_price,volume,change_percent,symbol
2026-03-30,188,190,192,187,27950000,-2.07,WIPRO
2026-03-27,192,189,192,188,26270000,1.35,WIPRO
2026-03-25,189,189,191,188,13860000,0.16,WIPRO
2026-03-24,189,192,192,188,11840000,0.64,WIPRO
2026-03-23,188,189,191,187,12010000,-1.76,WIPRO
2026-03-20,191,191,192,188,24400000,1.32,WIPRO
2026-03-19,188,192,193,188,13690000,-3.03,WIPRO
2026-03-18,194,193,198,193,24530000,1.56,WIPRO
2026-03-17,191,195,195,188,21780000,-1.94,WIPRO
2026-03-16,195,196,198,193,12630000,-1.25,WIPRO
2026-03-13,198,201,202,196,12630000,-2.43,WIPRO
2026-03-12,203,201,204,200,19040000,0.14,WIPRO
2026-03-11,202,203,206,202,29200000,0.65,WIPRO
2026-03-10,201,201,201,197,12980000,1.1,WIPRO
2026-03-09,199,194,200,193,25860000,1.71,WIPRO
2026-03-06,195,196,199,195,9020000,-0.14,WIPRO
2026-03-05,196,196,197,193,13150000,0.07,WIPRO
2026-03-04,196,196,197,195,19560000,-1.52,WIPRO
2026-03-02,199,195,200,195,10490000,-1.19,WIPRO
2026-02-27,201,204,204,200,13290000,-0.06,WIPRO
2026-02-26,201,204,205,199,14380000,-0.42,WIPRO
2026-02-25,202,201,205,201,13980000,0.89,WIPRO
2026-02-24,200,203,203,199,25040000,-2.79,WIPRO
2026-02-23,206,210,212,204,20950000,-1.89,WIPRO
2026-02-20,210,210,212,208,17690000,-0.64,WIPRO
2026-02-19,211,214,215,210,14150000,-0.35,WIPRO
2026-02-18,212,216,216,210,22680000,-1.73,WIPRO
2026-02-17,216,213,219,212,26940000,1.14,WIPRO
2026-02-16,213,215,217,210,20750000,-0.39,WIPRO
2026-02-13,214,211,216,209,23720000,-2.28,WIPRO
2026-02-12,219,226,226,219,40900000,-4.67,WIPRO
2026-02-11,230,231,233,230,7870000,-0.72,WIPRO
2026-02-10,231,230,233,227,12440000,0.6,WIPRO
2026-02-09,230,232,233,230,9110000,-0.28,WIPRO
2026-02-06,231,233,233,229,12280000,-1.14,WIPRO
2026-02-05,233,233,236,232,10100000,0.02,WIPRO
2026-02-04,233,236,236,226,26000000,-3.85,WIPRO
2026-02-03,243,259,260,242,25920000,0.16,WIPRO
2026-02-02,242,244,244,239,12340000,0.21,WIPRO
2026-02-01,242,237,247,235,21030000,2.07,WIPRO
2026-01-30,237,238,238,235,11360000,-1.21,WIPRO
2026-01-29,240,236,241,235,12200000,1.03,WIPRO
2026-01-28,237,236,238,235,10160000,1.09,WIPRO
2026-01-27,235,235,236,232,15680000,-1.51,WIPRO
2026-01-23,238,242,244,238,13550000,-0.93,WIPRO
2026-01-22,241,242,243,239,8540000,0.46,WIPRO
2026-01-21,240,240,243,238,14400000,-0.15,WIPRO
2026-01-20,240,246,246,239,16800000,-2.46,WIPRO
2026-01-19,246,252,252,242,65830000,-8.04,WIPRO
2026-01-16,267,263,270,263,12030000,2.79,WIPRO
2026-01-14,260,264,264,260,5630000,-1.51,WIPRO
2026-01-13,264,263,265,261,6930000,0.42,WIPRO
2026-01-12,263,261,265,259,3800000,0.44,WIPRO
